#Number_of_angles, RMSE_BackProjection, RMSE_Filter_BackProjection, RMSE_Projection_Slice_Theorem_with_interpolation 
39 0.45115324577452603 0.20542373235606648 0.2420634892852153
40 0.45025480838252957 0.20475118790616784 0.24228031431022318
41 0.44933789508981287 0.20408894209053535 0.2419580025437614
42 0.4484299649243542 0.20309595856179943 0.24181756877988805
43 0.44761925716361795 0.2023202400377328 0.24155542103281508
44 0.44693945849769656 0.201813802283246 0.2416096592649143
45 0.44640905359003247 0.20138484030989498 0.2405954676874317
46 0.4459660122047089 0.20103520350453152 0.24025180560043097
47 0.4456352404211443 0.2008134648746871 0.241100551786065
48 0.44494408410981495 0.20057533310409642 0.241479039864674
49 0.4440449166031983 0.20033704895790092 0.24083532624416182
50 0.44314355228979824 0.20023841336911255 0.24109923193658264
51 0.44242804271268427 0.20018844574058367 0.24237926146447428
52 0.4420070066876809 0.20018543767108773 0.24142523244786812
53 0.4417519245583368 0.20023426115364598 0.24133835546493645
54 0.44167608496239597 0.20032443999721544 0.24192246771542614
55 0.4414390466887233 0.2004301277682519 0.23933339066591852
56 0.44133650407061503 0.20073434801272477 0.24003270754599548
57 0.4414287300081547 0.20092464956617573 0.2380135830630085
58 0.44170449671248885 0.2011327820345059 0.23856087458891698
59 0.4422583338645974 0.20111703162170563 0.237747671765831
60 0.4430708744364755 0.20120248693454149 0.2384665447685493
61 0.4440007887297933 0.20135967810796335 0.2368878344425568
62 0.4450192705725464 0.2014247140649958 0.23589225340354808
63 0.4462199632070785 0.20158141806408966 0.23567122869253893
64 0.44763885423853156 0.20214265226232103 0.2353824244245883
65 0.4490759373707505 0.20199031249395824 0.23704511451937188
66 0.45045716348172676 0.20197272285614523 0.23736948343571776
67 0.45182365378259365 0.20259265312102614 0.2375770760959659
68 0.45326608039003063 0.20382783598183937 0.23520377283057364
69 0.4547367999362431 0.20483034441101636 0.23534624898933956
70 0.4562353552011369 0.2048073344404377 0.23730928523206066
71 0.4576057978972002 0.20517302950808455 0.2371327181476867
72 0.45900530705358256 0.205398892263448 0.23582763414502386
73 0.4602871574934905 0.20524887733593664 0.23837037501363714
74 0.46140721017291986 0.2049427635948047 0.23561084775805793
75 0.4626065521704381 0.20531416324878995 0.23518187989566358
76 0.4639267562877756 0.20546562746523467 0.23819572450141088
77 0.46524582879485776 0.2058531844135064 0.23723361501561938
78 0.4664555981700146 0.20517240519999855 0.23419004834363233
79 0.46758611844419007 0.2046989504198569 0.234947317576407
80 0.46839614750322256 0.2044031634463873 0.2333312048528371
81 0.46912011707141255 0.20301492036977475 0.2344909180445691
82 0.46978616749129065 0.20009592147619293 0.23572820298003974
83 0.4703600587387056 0.1990434678082263 0.23585705769266593
84 0.47082654724892775 0.19796012274908648 0.23409357064149947
85 0.47051823121030795 0.1965851324329555 0.233307920889362
86 0.4697189173805408 0.1949372810177944 0.23496944925946844
87 0.46880726531908856 0.19159188303055408 0.23325303517676807
88 0.4678051130773647 0.1880466721911407 0.23301388715328766
89 0.466709287515027 0.18605932765597036 0.2343746918359779
90 0.4654702283842803 0.18477638914911448 0.2338560296047427
91 0.46425140041089646 0.1832548153279548 0.2344888570319694
92 0.4630013018632769 0.18163767813500548 0.23539286602558995
93 0.4617979461775851 0.17932184310094035 0.23707758948988344
94 0.4605760684950523 0.17824607685031232 0.23610552576319543
95 0.45920054824726897 0.17807958592311918 0.23872128216631397
96 0.45790254780582895 0.17695700371693518 0.2369890627608609
97 0.45630361037820166 0.1734444147246878 0.23993547499545523
98 0.45461775272476174 0.17130197375103332 0.23820772417715252
99 0.4531228313911129 0.16901903544511743 0.2402672406000125
100 0.4518212419986459 0.16729262457966126 0.23903929481056926
101 0.4504548678347249 0.16597714057419616 0.24064389726420113
102 0.4491322903307224 0.16526295326155718 0.23792783926093256
103 0.44778987632766226 0.16461352173415938 0.23858345171164902
104 0.44653608237186276 0.16403539423273414 0.24083597319197741
105 0.4455217994886229 0.16384368119224466 0.23975277799499045
106 0.44468963301838416 0.16251188292608018 0.24131776575064592
107 0.4439946606593952 0.16119153351339846 0.24029601472715167
108 0.4433892237442797 0.1602932587062353 0.23881519030501763
109 0.44300563371360374 0.15882881267319646 0.238632981011929
110 0.4427130862848921 0.15807805805316874 0.24083487251516614
111 0.44252700341074996 0.1565647887083932 0.2385873055046621
112 0.44244603680813066 0.156229384268835 0.24073376020511617
113 0.4424410562284268 0.1557839672795295 0.2403231204183638
